school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,6,15,40.0,3.76,4.06
ABC ADULT SCHOOL,Cerritos,Los Angeles,0,0,,,
ABC SECONDARY SCHOOL,Cerritos,Los Angeles,0,0,,,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,30,63,47.62,3.64,3.86
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,24,82,29.27,3.55,3.87
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,7,20,35.0,3.94,4.17
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,4,8,50.0,4.04,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,0,7,0.0,4.02,
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0,0,,,
ACALANES CENTER FOR IND STUDY,Walnut Creek,Contra Costa,0,0,,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,28,83,33.73,3.79,4.1
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,17,54,31.48,3.86,4.21
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,13,48,27.08,3.81,4.09
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,40,91,43.96,3.85,4.14
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,0,0,,,
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,0,5,0.0,3.71,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,33,102,32.35,3.8,4.12
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,0,0,,,
ALBANY HIGH SCHOOL,Albany,Alameda,28,64,43.75,3.75,4.03
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,27,67,40.3,3.6,4.04
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,33,136,24.26,3.54,3.9
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,11,23,47.83,3.97,4.16
ALISAL HIGH SCHOOL,Salinas,Monterey,3,14,21.43,3.27,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,51,136,37.5,3.85,4.13
