school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,4,34,11.76,3.42,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,21,72,29.17,3.62,4.1
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,27,89,30.34,3.64,4.01
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,9,27,33.33,3.88,4.2
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,3,10,30.0,3.74,
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,0,0,,,
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,3,8,37.5,3.66,
ACADEMY MED HEALTH SCI AT RHS,Los Angeles,Los Angeles,0,11,0.0,3.45,
ACADEMY OF INNOVATION,Hemet,Riverside,0,0,,,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,7,23,30.43,3.86,4.26
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0,0,,,
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,0,11,0.0,3.92,
ACALANES CENTER FOR IND STUDY,Walnut Creek,Contra Costa,0,0,,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,23,74,31.08,3.75,4.08
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,28,58,48.28,3.98,4.25
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,27,58,46.55,3.91,4.24
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,36,82,43.9,3.89,4.16
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,0,7,0.0,3.59,
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,0,14,0.0,3.41,
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,3,10,30.0,4.05,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,65,141,46.1,3.89,4.25
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,5,14,35.71,3.88,4.1
