school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,13,32,40.62,3.72,4.09
ABLE CHARTER,Stockton,San Joaquin,0,0,,,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,31,54,57.41,3.55,4.01
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,48,189,25.4,3.6,4.01
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,14,59,23.73,3.85,4.25
ABRAM FRIEDMAN OCC CTR,Los Angeles,Los Angeles,0,0,,,
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,10,25,40.0,3.66,
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,5,8,62.5,3.38,
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,6,18,33.33,3.3,
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,0,12,0.0,3.8,
ACADEMIES OF ANTELOPE VALLEY,Lancaster,Los Angeles,0,0,,,
ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,0,0,,,
ACADEMY OF INNOVATION,Hemet,Riverside,0,0,,,
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,12,27,44.44,3.64,
ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,0,24,0.0,,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,11,53,20.75,3.87,4.22
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0,5,0.0,,
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,3,16,18.75,3.42,
ACALANES CENTER FOR IND STUDY,Walnut Creek,Contra Costa,0,0,,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,25,118,21.19,3.79,4.15
ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,0,8,0.0,,
ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,15,42,35.71,,
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,16,85,18.82,3.85,4.19
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,18,130,13.85,3.98,4.25
ADULT HIGH SCHOOL - PACCD,Pasadena,Los Angeles,0,0,,,
ADVANCED LRNG ACDMY EARLY COLG,Santa Ana,Orange,0,0,,,
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,18,95,18.95,3.8,4.17
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,0,52,0.0,3.85,4.31
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,22,43,51.16,3.63,
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,4,14,28.57,,
ALAMEDA COUNTY OFFICE OF EDU,Hayward,Alameda,0,0,,,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,31,163,19.02,3.92,4.22
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,3,28,10.71,3.94,4.12
ALBANY HIGH SCHOOL,Albany,Alameda,12,131,9.16,3.73,4.2
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,59,129,45.74,3.58,4.13
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,27,154,17.53,3.61,4.05
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,9,34,26.47,3.86,4.24
ALISAL HIGH SCHOOL,Salinas,Monterey,20,53,37.74,3.65,4.23
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,33,193,17.1,3.82,4.15
ALL TRIBES AM INDIAN CHARTER SCHOOL,Valley Center,San Diego,0,0,,,
ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,9,16,56.25,,
ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,10,24,41.67,,
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,4,13,30.77,3.39,
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,15,29,51.72,,
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,19,35,54.29,3.5,
ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,8,18,44.44,3.35,
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,11,25,44.0,3.74,4.06
ALLIANCE MARGARET M BLOOMFIELD,Huntington Park,Los Angeles,16,26,61.54,,
ALLIANCE MIT 6-12 COMPLEX,Sun Valley,Los Angeles,14,23,60.87,,
ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,9,20,45.0,3.67,
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,28,36,77.78,3.42,
ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,15,31,48.39,3.57,3.94
ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,8,16,50.0,3.91,
ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,11,21,52.38,3.42,
ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,22,29,75.86,,
ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,17,33,51.52,,
ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles,5,19,26.32,3.42,
ALPHA CINDY AVITIA HIGH SCHOOL,San Jose,Santa Clara,4,6,66.67,,
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,17,65,26.15,3.63,4.14
ALTA VISTA ALTERNATIVE HS,Santa Barbara,Santa Barbara,0,0,,,
ALTA VISTA INNOVATION HIGH,Hesperia,San Bernardino,0,0,,,
ALTERNATIVE FAMILY EDUCATION,Santa Cruz,Santa Cruz,0,0,,,
ALTERNATIVES IN ACTION HS,Oakland,Alameda,0,6,0.0,,
AMADOR HIGH SCHOOL,Sutter Creek,Amador,3,10,30.0,,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,50,349,14.33,3.87,4.19
AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,5,13,38.46,3.59,
AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,8,39,20.51,3.86,
AMERICAN HIGH SCHOOL,Fremont,Alameda,74,348,21.26,3.78,4.11
AMERICAS FINEST CHARTER SCHOOL,San Diego,San Diego,0,0,,,
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,10,18,55.56,2.93,
ANAHEIM HIGH SCHOOL,Anaheim,Orange,40,78,51.28,3.4,4.05
ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,0,0,,,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,10,46,21.74,4.01,4.17
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,0,0,,,
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0,0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,7,25,28.0,3.68,4.11
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,12,80,15.0,3.95,4.26
ANIMO CTY CHAMPIONS CHARTER HS,Inglewood,Los Angeles,7,11,63.64,,
ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,16,41,39.02,3.56,
ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,15,37,40.54,3.73,
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,17,37,45.95,3.52,3.99
ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,16,38,42.11,3.72,
ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,20,25,80.0,3.48,
ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,14,26,53.85,3.38,
ANIMO VENICE CHARTER HS,Venice,Los Angeles,11,23,47.83,3.12,
ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,5,14,35.71,3.19,
ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,14,95,14.74,3.89,4.2
ANTELOPE HIGH SCHOOL,Antelope,Sacramento,9,33,27.27,3.96,4.2
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,15,22,68.18,3.85,
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,15,23,65.22,3.6,
APEX ACADEMY HIGH SCHOOL,Los Angeles,Los Angeles,0,6,0.0,,
APOLLO HIGH SCHOOL,Simi Valley,Ventura,0,0,,,
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,10,49,20.41,3.81,4.34
APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,0,14,0.0,,
APTOS HIGH SCHOOL,Aptos,Santa Cruz,10,69,14.49,4.04,4.25
ARAGON HIGH SCHOOL,San Mateo,San Mateo,24,196,12.24,3.91,4.19
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,52,365,14.25,3.75,4.17
ARCATA HIGH SCHOOL,Arcata,Humboldt,0,22,0.0,3.9,
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,6,74,8.11,3.79,4.0
ARCHITECTURE CONSTRUCT ENG HS,Camarillo,Ventura,0,0,,,
ARGONAUT HIGH SCHOOL,Jackson,Amador,0,5,0.0,,
ARISE HIGH SCHOOL,Oakland,Alameda,0,0,,3.68,
ARLETA HIGH SCHOOL,Arleta,Los Angeles,8,22,36.36,3.6,4.03
ARLINGTON HIGH SCHOOL,Riverside,Riverside,28,53,52.83,3.7,4.18
ARMIJO HIGH SCHOOL,Fairfield,Solano,5,21,23.81,3.62,
ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,34,336,10.12,3.8,4.18
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,10,55,18.18,3.85,4.2
ARROYO HIGH SCHOOL,El Monte,Los Angeles,43,83,51.81,3.79,4.12
ARROYO HIGH SCHOOL,San Lorenzo,Alameda,14,66,21.21,3.82,4.14
ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,20,48,41.67,3.58,4.07
ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,15,34,44.12,3.61,4.05
ARTS & ENTERTAINMENT VIRTUAL ACAD,Carson,Los Angeles,0,0,,,
ARVIN HIGH SCHOOL,Arvin,Kern,14,29,48.28,3.44,
ASPIRE ALEXANDER TWILIGHT SCND,Sacramento,Sacramento,6,16,37.5,,
ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,7,26,26.92,3.85,
ASPIRE GOLDEN STATE PREP ACADEMY,Oakland,Alameda,0,0,,3.3,
ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,0,8,0.0,3.43,
ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,0,6,0.0,,
ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,7,10,70.0,,
ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,6,10,60.0,3.77,
