school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,12,17.0,70.59,3.68,3.97
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,13,28.0,46.43,3.56,4.04
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,10,146.0,6.85,3.84,4.14
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,11,63.0,17.46,3.88,4.25
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,6,17.0,35.29,3.67,
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,0,7.0,0.0,3.6,
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,3,9.0,33.33,3.21,
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,0,11.0,0.0,3.73,
ACADEMIES OF ANTELOPE VALLEY,Lancaster,Los Angeles,0,0.0,,,
ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,0,5.0,0.0,,
ACADEMY OF INNOVATION,Hemet,Riverside,0,0.0,,,
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,0,26.0,0.0,3.56,4.18
ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,0,9.0,0.0,3.63,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,16,48.0,33.33,4.06,4.19
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0,6.0,0.0,,
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,3,10.0,30.0,4.04,4.2
ACALANES CENTER FOR IND STUDY,Walnut Creek,Contra Costa,0,0.0,,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,19,78.0,24.36,3.98,4.22
ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,0,0.0,,,
ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,10,26.0,38.46,3.72,4.11
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,15,89.0,16.85,3.95,4.22
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,23,99.0,23.23,3.98,4.29
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,16,90.0,17.78,3.94,4.18
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,8,38.0,21.05,3.98,4.29
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,4,18.0,22.22,3.55,
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,0,10.0,0.0,4.0,4.27
ALAMEDA HIGH SCHOOL,Alameda,Alameda,20,119.0,16.81,3.98,4.28
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,3,14.0,21.43,4.1,4.25
ALBANY HIGH SCHOOL,Albany,Alameda,24,105.0,22.86,3.96,4.17
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,29,95.0,30.53,3.81,4.19
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,43,126.0,34.13,3.85,4.14
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,0,12.0,0.0,3.89,4.22
ALISAL HIGH SCHOOL,Salinas,Monterey,8,50.0,16.0,3.59,3.96
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,39,187.0,20.86,3.9,4.2
ALLIANCE ALICE M BAXTER CRHS,San Pedro,Los Angeles,0,9.0,0.0,3.6,
ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,4,22.0,18.18,3.53,
ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,6,24.0,25.0,3.65,4.13
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,3,11.0,27.27,3.8,3.97
