school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,0,17,0.0,3.78,3.89
ABLE CHARTER,Stockton,San Joaquin,0,0,,,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,13,34,38.24,3.8,4.16
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,29,136,21.32,3.8,4.29
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,6,35,17.14,3.86,4.28
ABRAM FRIEDMAN OCC CTR,Los Angeles,Los Angeles,0,0,,,
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,0,14,0.0,3.78,4.29
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,0,10,0.0,3.9,
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,0,0,,3.71,
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,13,35,37.14,4.05,
ACADEMIES OF ANTELOPE VALLEY,Lancaster,Los Angeles,0,0,,,
ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,0,0,,3.93,
ACADEMY OF INNOVATION,Hemet,Riverside,0,0,,,
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,12,27,44.44,3.37,
ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,0,7,0.0,3.76,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,6,37,16.22,4.04,4.25
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0,0,,4.14,
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,4,18,22.22,3.94,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,6,110,5.45,3.95,4.23
ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,0,5,0.0,,
ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,12,38,31.58,3.87,4.14
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,26,72,36.11,3.86,4.27
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,28,95,29.47,4.06,4.3
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,34,91,37.36,3.88,4.23
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,27,58,46.55,3.82,4.32
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,0,17,0.0,3.53,
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,0,9,0.0,3.87,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,23,151,15.23,3.92,4.28
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,5,23,21.74,3.87,
ALBANY HIGH SCHOOL,Albany,Alameda,15,106,14.15,3.87,4.24
ALBERT EINSTEIN LETTER ART SCI,Agua Dulce,Los Angeles,0,6,0.0,,
ALDER GROVE CHARTER SCHOOL 2,Eureka,Humboldt,0,0,,,
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,20,75,26.67,3.64,4.13
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,38,145,26.21,3.84,4.18
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,7,17,41.18,3.91,
ALISAL HIGH SCHOOL,Salinas,Monterey,3,35,8.57,3.51,4.07
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,37,151,24.5,3.95,4.24
ALLIANCE ALICE M BAXTER CRHS,San Pedro,Los Angeles,0,10,0.0,3.79,
ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,4,10,40.0,3.51,
ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,14,33,42.42,3.64,4.14
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,4,13,30.77,3.77,
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,4,11,36.36,3.68,
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,3,9,33.33,3.19,
ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,0,9,0.0,3.68,3.93
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,8,16,50.0,3.9,4.07
ALLIANCE MARGARET M BLOOMFIELD,Huntington Park,Los Angeles,0,13,0.0,3.64,
ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,0,5,0.0,3.56,
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,4,9,44.44,3.41,4.02
ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,10,20,50.0,3.42,
ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,0,11,0.0,3.56,
ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,4,11,36.36,3.44,3.98
ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,5,13,38.46,3.58,
ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,0,0,,,
ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles,0,12,0.0,3.4,
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,6,54,11.11,3.65,3.96
ALTA VISTA ALTERNATIVE HS,Santa Barbara,Santa Barbara,0,0,,,
AMADOR HIGH SCHOOL,Sutter Creek,Amador,3,9,33.33,,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,28,240,11.67,3.88,4.21
AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,6,18,33.33,3.78,
AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,4,38,10.53,3.98,4.26
AMERICAN HIGH SCHOOL,Fremont,Alameda,26,184,14.13,3.89,4.23
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,0,8,0.0,3.57,
ANAHEIM HIGH SCHOOL,Anaheim,Orange,9,45,20.0,3.43,3.73
ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,0,5,0.0,,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,5,24,20.83,3.92,
ANDERSON NEW TECHNOLOGY HIGH S,Anderson,Shasta,0,0,,,
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,0,0,,,
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0,0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,12,53,22.64,3.82,4.19
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,4,34,11.76,3.96,4.28
ANIMO COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,0,9,0.0,3.51,
ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,0,16,0.0,3.78,3.97
ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,6,22,27.27,3.76,4.2
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,16,29,55.17,3.72,4.19
ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,7,35,20.0,3.72,
ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,0,11,0.0,,
ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,3,16,18.75,2.93,4.0
ANIMO VENICE CHARTER HS,Venice,Los Angeles,3,25,12.0,3.56,3.92
ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,5,18,27.78,3.55,
ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,16,63,25.4,4.05,4.34
ANTELOPE HIGH SCHOOL,Antelope,Sacramento,8,29,27.59,3.98,4.16
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,4,15,26.67,3.67,
ANTELOPE VALLEY LEARNING ACDMY,Palmdale,Los Angeles,0,0,,,
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,0,9,0.0,3.61,
ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,0,8,0.0,,
APEX ACADEMY HIGH SCHOOL,Los Angeles,Los Angeles,0,11,0.0,3.69,
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,4,27,14.81,4.01,4.27
APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,0,16,0.0,3.44,
APTOS HIGH SCHOOL,Aptos,Santa Cruz,12,48,25.0,3.94,4.3
ARAGON HIGH SCHOOL,San Mateo,San Mateo,13,122,10.66,3.94,4.24
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,85,387,21.96,3.89,4.24
ARCATA HIGH SCHOOL,Arcata,Humboldt,5,16,31.25,4.06,
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,8,43,18.6,3.94,4.15
ARENA ALTERNATIVE HIGH SCHOOL,El Segundo,Los Angeles,0,0,,,
ARGONAUT HIGH SCHOOL,Jackson,Amador,0,0,,,
ARISE HIGH SCHOOL,Oakland,Alameda,0,0,,3.22,
ARLETA HIGH SCHOOL,Arleta,Los Angeles,8,22,36.36,3.69,4.04
ARLINGTON HIGH SCHOOL,Riverside,Riverside,16,33,48.48,3.81,4.11
ARMIJO HIGH SCHOOL,Fairfield,Solano,8,35,22.86,4.1,4.28
ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,85,298,28.52,3.95,4.26
ARROYO GRANDE HIGH (CROWN HILL),Arroyo Grande,San Luis Obispo,0,0,,,
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,21,63,33.33,4.02,4.32
ARROYO HIGH SCHOOL,El Monte,Los Angeles,34,93,36.56,3.83,4.15
ARROYO HIGH SCHOOL,San Lorenzo,Alameda,23,63,36.51,3.94,4.3
ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,12,47,25.53,3.54,4.01
ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,7,28,25.0,3.64,3.96
ARVIN HIGH SCHOOL,Arvin,Kern,8,24,33.33,3.75,
ASPIRE ALEXANDER TWILIGHT SCND,Sacramento,Sacramento,0,0,,,
ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,3,14,21.43,3.87,
ASPIRE EAST PALO ALTO PHOENIX,East Palo Alto,San Mateo,0,0,,3.27,
ASPIRE GOLDEN STATE PREP ACADEMY,Oakland,Alameda,6,10,60.0,3.57,
ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,0,5,0.0,3.67,
ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,3,9,33.33,,
ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,0,15,0.0,3.38,
ASPIRE RICHMOND CA COLG PREP,Richmond,Contra Costa,0,0,,,
ASPIRE VANGUARD COL PREP ACAD,Modesto,Stanislaus,0,5,0.0,3.91,
ASSURANCE LEARNING ACADEMY,Lancaster,Los Angeles,0,0,,,
ATASCADERO CHOICES EDUC ACAD,Atascadero,San Luis Obispo,0,0,,,
ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,7,21,33.33,4.08,
ATWATER HIGH SCHOOL,Atwater,Merced,3,16,18.75,3.84,4.03
AUDEO CHARTER SCHOOL,San Diego,San Diego,0,0,,,
AUGUSTUS HAWKINS COMM HEALTH ADVCTE,Los Angeles,Los Angeles,3,11,27.27,3.5,
AUGUSTUS HAWKINS HIGH SCHOOL RISE,Los Angeles,Los Angeles,0,6,0.0,3.27,
AVALON HIGH SCHOOL,Avalon,Los Angeles,0,0,,,
AVENAL HIGH SCHOOL,Avenal,Kings,3,11,27.27,3.68,
AVESON GLOBAL LEADERSHIP ACAD,Altadena,Los Angeles,0,11,0.0,3.43,
AZUSA HIGH SCHOOL,Azusa,Los Angeles,4,21,19.05,3.41,3.72
BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,0,20,0.0,3.83,
BALBOA HIGH SCHOOL,San Francisco,San Francisco,23,76,30.26,3.94,4.26
BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,4,35,11.43,3.69,4.04
BANNING HIGH SCHOOL,Banning,Riverside,6,27,22.22,3.59,3.92
BARSTOW HIGH SCHOOL,Barstow,San Bernardino,3,7,42.86,3.91,
BASSETT HIGH SCHOOL,La Puente,Los Angeles,6,22,27.27,3.72,3.99
BAY AREA TECHNOLOGY-BAYTECH,Oakland,Alameda,0,0,,3.66,
BAYFRONT CHARTER HIGH SCHOOL,Chula Vista,San Diego,3,17,17.65,3.72,
BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,4,24,16.67,3.7,
BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada,3,10,30.0,3.95,
BEAUMONT HIGH SCHOOL,Beaumont,Riverside,23,57,40.35,3.96,4.22
BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,14,67,20.9,3.81,4.1
BELL HIGH SCHOOL,Bell,Los Angeles,28,68,41.18,3.82,4.24
BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,7,43,16.28,4.0,4.29
BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,6,30,20.0,3.78,3.92
BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,0,10,0.0,3.44,
BENICIA HIGH SCHOOL,Benicia,Solano,11,57,19.3,3.96,4.28
BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,11,43,25.58,3.84,4.2
BERKELEY HIGH SCHOOL,Berkeley,Alameda,14,229,6.11,3.95,4.15
BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,26,117,22.22,3.89,4.15
BIG BEAR HIGH SCHOOL,Big Bear City,San Bernardino,6,19,31.58,,
BIG PICTURE HIGH SCHOOL-FRESNO,Fresno,Fresno,0,0,,,
BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,17,60,28.33,3.56,3.91
BISHOP UNION HIGH SCHOOL,Bishop,Inyo,0,13,0.0,3.64,
BLAIR HIGH SCHOOL,Pasadena,Los Angeles,4,18,22.22,3.73,4.05
BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,6,25,24.0,3.41,4.0
BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,33,112,29.46,3.63,4.09
BONITA HIGH SCHOOL,La Verne,Los Angeles,22,70,31.43,3.99,4.3
BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,36,97,37.11,3.87,4.13
BONSALL HIGH SCHOOL,Bonsall,San Diego,5,9,55.56,3.96,4.3
BORON HIGH SCHOOL,Boron,Kern,0,0,,,
BORREGO SPRINGS HIGH SCHOOL,Borrego Springs,San Diego,3,6,50.0,3.8,
BRANHAM HIGH SCHOOL,San Jose,Santa Clara,9,66,13.64,4.13,4.34
BRAWLEY UNION HIGH SCHOOL,Brawley,Imperial,14,24,58.33,3.82,4.18
BREA OLINDA HIGH SCHOOL,Brea,Orange,18,69,26.09,3.91,4.32
BRET HARTE UNION HIGH SCHOOL,Angels Camp,Calaveras,0,7,0.0,,
BRIONES SCHOOL,Martinez,Contra Costa,0,0,,,
BUCKINGHAM COLLEGIATE CHARTER,Vacaville,Solano,0,15,0.0,,
BUENA HIGH SCHOOL,Ventura,Ventura,9,22,40.91,3.8,
BUENA PARK HIGH SCHOOL,Buena Park,Orange,9,34,26.47,3.84,4.19
BUENA VISTA VIRTUAL ACADEMY,Yorba Linda,Orange,0,0,,,
BUHACH COLONY HIGH SCHOOL,Atwater,Merced,6,27,22.22,3.89,4.25
BULLARD HIGH SCHOOL,Fresno,Fresno,6,26,23.08,3.87,4.22
BURBANK INDEPENDENT LEARNING,Burbank,Los Angeles,0,0,,,
BURBANK SENIOR HIGH SCHOOL,Burbank,Los Angeles,32,121,26.45,3.87,4.26
BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,24,100,24.0,3.94,4.27
C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento,15,57,26.32,3.91,4.19
CA CONNECTIONS ACADEMY CAPISTRANO,San Juan Capistrano,Orange,4,19,21.05,3.99,4.3
CA PCFC CHRTR SCHL SD SAGE OAK,Redlands,San Bernardino,0,0,,,
CA PCFC CHRTR SCHLS SD CALPAC,Newport Beach,Orange,0,0,,,
CABRILLO HIGH SCHOOL,Lompoc,Santa Barbara,4,19,21.05,3.71,
CAJON HIGH SCHOOL,San Bernardino,San Bernardino,17,73,23.29,3.82,4.12
CALABASAS HIGH SCHOOL,Calabasas,Los Angeles,43,123,34.96,3.94,4.19
CALAVERAS HIGH SCHOOL,San Andreas,Calaveras,0,12,0.0,3.83,
CALERO HIGH SCHOOL,San Jose,Santa Clara,0,0,,,
CALEXICO HIGH SCHOOL,Calexico,Imperial,35,82,42.68,3.92,4.11
CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles,53,111,47.75,3.96,4.15
CALIFORNIA CITY HIGH SCHOOL,California City,Kern,0,5,0.0,3.94,
CALIFORNIA CONNECTIONS ACD RPN,Ripon,San Joaquin,0,0,,3.98,
CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,15,208,7.21,3.91,4.22
CALIFORNIA HIGH SCHOOL,Whittier,Los Angeles,20,67,29.85,3.89,4.19
CALIFORNIA MILITARY INSTITUTE,Perris,Riverside,12,20,60.0,3.81,4.18
CALIFORNIA PACIFIC CHARTR SAN DIEG,Costa Mesa,Orange,0,0,,,
CALIFORNIA PREPARATORY ACADEMY,San Juan Capistrano,Orange,0,0,,3.65,
CALIFORNIA STEAM SONOMA II,Guerneville,Sonoma,0,0,,,
CALIFORNIA VIRTUAL ACAD SAN DIEGO,Simi Valley,Ventura,0,5,0.0,3.57,
