school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,6,31,19.35,3.56,
ABC ADULT SCHOOL,Cerritos,Los Angeles,0,0,,,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,20,48,41.67,3.7,4.08
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,36,115,31.3,3.65,4.0
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,7,29,24.14,3.93,4.32
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,4,10,40.0,3.49,
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,0,0,,3.46,
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,4,11,36.36,,
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,6,13,46.15,3.83,
ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,0,0,,,
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,0,17,0.0,3.77,4.22
ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,0,0,,3.55,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,9,21,42.86,3.98,4.25
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0,0,,,
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,3,8,37.5,3.88,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,26,76,34.21,3.8,4.19
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,20,61,32.79,3.86,4.26
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,28,59,47.46,4.0,4.24
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,25,99,25.25,3.87,4.2
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,6,17,35.29,4.09,4.22
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,5,25,20.0,3.57,
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,3,8,37.5,3.74,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,38,131,29.01,3.95,4.25
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,6,19,31.58,3.84,
ALBANY HIGH SCHOOL,Albany,Alameda,23,86,26.74,3.83,4.15
ALBERT EINSTEIN LETTER ART SCI,Agua Dulce,Los Angeles,0,6,0.0,,
