school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,15.0,29.0,51.72,3.66,3.91
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,15.0,34.0,44.12,3.62,3.99
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,22.0,98.0,22.45,3.46,3.92
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,15.0,37.0,40.54,3.78,4.08
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,0.0,0.0,,,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,0.0,0.0,,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,39.0,105.0,37.14,3.67,4.03
ACCESS COUNTY COMMUNITY,Fountain Valley,Orange,0.0,0.0,,,
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,24.0,73.0,32.88,3.74,4.06
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,19.0,55.0,34.55,3.81,4.11
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,50.0,106.0,47.17,3.82,4.06
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,0.0,0.0,,,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,33.0,84.0,39.29,3.72,4.16
ALBANY HIGH SCHOOL,Albany,Alameda,31.0,62.0,50.0,3.74,3.99
ALBERT EINSTEIN HIGH SCHOOL,Sepulveda,Los Angeles,0.0,0.0,,,
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,18.0,69.0,26.09,3.56,4.03
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,53.0,111.0,47.75,3.6,3.94
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,7.0,13.0,53.85,3.83,4.08
ALISAL HIGH SCHOOL,Salinas,Monterey,4.0,25.0,16.0,3.2,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,23.5,64.5,36.43,3.56,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,23.5,64.5,36.43,3.79,4.11
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,6.0,12.0,50.0,3.93,4.11
ALTERNATIVES IN ACTION HS,Oakland,Alameda,0.0,0.0,,,
AMADOR HIGH SCHOOL,Sutter Creek,Amador,0.0,10.0,0.0,3.59,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,26.0,61.0,42.62,3.86,4.13
AMERICAN HIGH SCHOOL,Fremont,Alameda,13.0,32.0,40.62,3.92,4.18
AMERICAN LEGION HIGH SCHOOL,Sacramento,Sacramento,0.0,0.0,,,
