school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,4.0,12.0,33.33,3.62,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,19.0,41.0,46.34,3.46,3.68
ABRAHAM LINCOLN HIGH SCHOOL,Riverside,Riverside,0.0,0.0,,,
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,16.0,79.0,20.25,3.43,3.84
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,11.0,23.0,47.83,3.89,4.19
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,0.0,6.0,0.0,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,42.0,100.0,42.0,3.8,4.05
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,24.0,50.0,48.0,3.8,4.08
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,16.0,47.0,34.04,3.71,4.1
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,42.0,92.0,45.65,3.85,4.1
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,0.0,0.0,,,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,38.0,90.0,42.22,3.81,4.16
ALBANY HIGH SCHOOL,Albany,Alameda,28.0,66.0,42.42,3.8,4.08
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,32.0,69.0,46.38,3.71,4.06
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,43.0,130.0,33.08,3.54,3.81
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,12.0,26.0,46.15,3.83,4.14
ALISAL HIGH SCHOOL,Salinas,Monterey,4.0,12.0,33.33,3.24,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,36.0,106.0,33.96,,
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,4.0,24.0,16.67,3.61,
AMADOR HIGH SCHOOL,Sutter Creek,Amador,0.0,6.0,0.0,3.69,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,34.0,77.0,44.16,3.87,4.17
AMERICAN HIGH SCHOOL,Fremont,Alameda,21.0,52.0,40.38,3.77,4.1
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,7.0,16.0,43.75,3.77,4.12
ANAHEIM HIGH SCHOOL,Anaheim,Orange,5.0,12.0,41.67,3.52,3.83
ANALY HIGH SCHOOL,Sebastopol,Sonoma,8.0,23.0,34.78,3.83,4.03
ANDERSON NEW TECHNOLOGY HIGH S,Anderson,Shasta,0.0,0.0,,,
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,0.0,0.0,,,
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0.0,0.0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,18.0,43.0,41.86,3.8,4.08
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,0.0,5.0,0.0,,
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,7.0,25.0,28.0,3.59,3.95
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,0.0,5.0,0.0,3.62,
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,8.0,17.0,47.06,3.74,4.08
ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,0.0,0.0,,,
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,11.0,21.0,52.38,3.86,4.14
APTOS HIGH SCHOOL,Aptos,Santa Cruz,13.0,46.0,28.26,3.86,4.2
ARAGON HIGH SCHOOL,San Mateo,San Mateo,31.0,92.0,33.7,3.72,4.07
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,150.0,352.0,42.61,3.68,3.99
ARCATA HIGH SCHOOL,Arcata,Humboldt,8.0,17.0,47.06,3.9,4.12
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,14.0,31.0,45.16,3.82,4.02
ARGONAUT HIGH SCHOOL,Jackson,Amador,3.0,10.0,30.0,3.96,
ARLINGTON HIGH SCHOOL,Riverside,Riverside,8.0,21.0,38.1,3.8,4.06
ARMIJO HIGH SCHOOL,Fairfield,Solano,12.0,21.0,57.14,3.8,4.09
