school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,0,5,0.0,3.46,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,9,14,64.29,3.48,3.57
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,0,10,0.0,3.51,
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,9,11,81.82,3.87,4.0
ABRAXAS HIGH SCHOOL,Poway,San Diego,0,0,,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,45,72,62.5,3.67,3.85
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,26,51,50.98,3.77,4.02
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,10,19,52.63,3.83,4.13
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,36,85,42.35,3.65,3.92
ALAMEDA HIGH SCHOOL,Alameda,Alameda,22,41,53.66,3.82,4.06
ALBANY HIGH SCHOOL,Albany,Alameda,25,44,56.82,3.57,3.84
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,17,40,42.5,3.54,3.93
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,54,110,49.09,3.54,3.85
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,0,5,0.0,3.73,
ALISAL HIGH SCHOOL,Salinas,Monterey,3,10,30.0,3.36,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,36,86,41.86,3.69,3.99
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,14,20,70.0,3.85,4.01
AMADOR HIGH SCHOOL,Sutter Creek,Amador,7,12,58.33,3.84,4.1
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,30,50,60.0,3.78,3.99
AMERICAN HIGH SCHOOL,Fremont,Alameda,8,20,40.0,3.62,4.02
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,6,7,85.71,4.0,4.09
ANAHEIM HIGH SCHOOL,Anaheim,Orange,0,0,,,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,6,16,37.5,3.59,3.98
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,0,0,,,
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0,0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,4,8,50.0,3.67,
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,0,5,0.0,3.86,
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,6,14,42.86,3.8,4.13
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,17,22,77.27,3.82,3.92
