school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,5,27,18.52,3.69,4.12
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,28,53,52.83,3.59,3.9
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,28,110,25.45,3.56,3.97
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,11,29,37.93,3.77,4.13
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,0,0,,,
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,0,0,,,
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,4,12,33.33,3.47,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,4,14,28.57,3.65,
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0,0,,,
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,0,0,,,
ACALANES CENTER FOR IND STUDY,Walnut Creek,Contra Costa,0,0,,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,26,79,32.91,3.73,4.1
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,20,66,30.3,3.83,4.17
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,18,50,36.0,3.95,4.21
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,24,97,24.74,3.8,4.17
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,6,9,66.67,4.23,4.3
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,5,9,55.56,4.03,4.25
ALAMEDA HIGH SCHOOL,Alameda,Alameda,43,108,39.81,3.89,4.14
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,4,13,30.77,3.84,
ALBANY HIGH SCHOOL,Albany,Alameda,27,76,35.53,3.83,4.16
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,25,66,37.88,3.64,4.05
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,43,158,27.22,3.62,4.01
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,3,13,23.08,3.53,
ALISAL HIGH SCHOOL,Salinas,Monterey,3,9,33.33,3.53,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,41,124,33.06,3.88,4.17
ALLIANCE COLLEGE-READY ACD #7,Los Angeles,Los Angeles,0,10,0.0,3.47,
ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,0,10,0.0,,
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,5,18,27.78,3.55,
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,4,12,33.33,3.54,
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,0,10,0.0,3.12,
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,0,12,0.0,3.48,
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,4,15,26.67,3.34,
ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,0,11,0.0,3.57,
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,9,30,30.0,3.66,4.08
AMADOR HIGH SCHOOL,Sutter Creek,Amador,3,6,50.0,4.14,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,35,135,25.93,3.79,4.14
AMERICAN HIGH SCHOOL,Fremont,Alameda,26,113,23.01,3.74,4.13
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,4,7,57.14,3.64,
ANAHEIM HIGH SCHOOL,Anaheim,Orange,9,30,30.0,3.41,3.92
ANALY HIGH SCHOOL,Sebastopol,Sonoma,8,27,29.63,3.96,4.19
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,0,0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,29,59,49.15,3.74,3.99
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,12,32,37.5,3.93,4.27
ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,3,8,37.5,3.58,
ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,0,7,0.0,3.86,
ANIMO JUSTICE CHARTER HIGH SCH,Los Angeles,Los Angeles,0,0,,,
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,4,12,33.33,3.33,
ANIMO LOCKE TECH CHARTER HS,Los Angeles,Los Angeles,0,6,0.0,3.4,
ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,0,8,0.0,3.81,
ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,0,9,0.0,3.02,
ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,0,6,0.0,3.61,
ANIMO VENICE CHARTER HS,Venice,Los Angeles,0,6,0.0,3.0,
ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,0,5,0.0,3.46,
ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,16,42,38.1,4.04,4.3
ANTELOPE HIGH SCHOOL,Antelope,Sacramento,3,12,25.0,3.88,
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,0,0,,,
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,5,7,71.43,3.94,4.23
ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,3,8,37.5,3.78,
APEX ACADEMY HIGH SCHOOL,Los Angeles,Los Angeles,0,0,,,
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,5,13,38.46,3.79,4.14
APTOS HIGH SCHOOL,Aptos,Santa Cruz,8,31,25.81,3.9,4.23
ARAGON HIGH SCHOOL,San Mateo,San Mateo,28,85,32.94,3.87,4.17
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,105,383,27.42,3.71,4.08
ARCATA HIGH SCHOOL,Arcata,Humboldt,4,11,36.36,3.9,
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,12,33,36.36,3.94,4.23
ARGONAUT HIGH SCHOOL,Jackson,Amador,0,8,0.0,3.65,
ARISE HIGH SCHOOL,Oakland,Alameda,0,0,,,
ARLETA HIGH SCHOOL,Arleta,Los Angeles,6,21,28.57,3.67,3.98
ARLINGTON HIGH SCHOOL,Riverside,Riverside,13,33,39.39,3.63,4.01
ARMIJO HIGH SCHOOL,Fairfield,Solano,13,33,39.39,3.83,4.14
ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,56,167,33.53,3.84,4.13
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,20,57,35.09,3.92,4.2
