school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,13,25,52.0,3.69,3.87
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,24,60,40.0,3.46,3.86
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,15,82,18.29,3.48,3.94
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,13,29,44.83,3.87,4.15
ABRAM FRIEDMAN OCC CTR,Los Angeles,Los Angeles,0,0,,,
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,0,5,0.0,3.79,
ACADEMY OF INNOVATION,Hemet,Riverside,0,0,,,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,0,0,,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,26,92,28.26,3.71,4.05
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,19,55,34.55,3.78,4.12
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,18,44,40.91,3.79,4.11
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,32,84,38.1,3.79,4.11
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,3,6,50.0,3.89,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,50,116,43.1,3.82,4.07
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,0,0,,,
ALBANY HIGH SCHOOL,Albany,Alameda,34,80,42.5,3.7,4.0
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,30,60,50.0,3.74,3.99
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,52,145,35.86,3.55,3.85
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,5,12,41.67,3.77,4.07
ALISAL HIGH SCHOOL,Salinas,Monterey,0,12,0.0,3.43,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,40,120,33.33,3.66,4.07
