school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,7,20,35.0,3.72,4.07
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,17,30,56.67,3.59,3.85
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,37,129,28.68,3.51,3.84
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,12,25,48.0,3.77,4.04
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,0,0,,,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,4,6,66.67,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,34,72,47.22,3.71,4.0
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,30,59,50.85,3.9,4.17
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,29,60,48.33,3.81,4.08
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,48,94,51.06,3.83,4.09
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,3,6,50.0,3.94,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,50,88,56.82,3.88,4.11
ALBANY HIGH SCHOOL,Albany,Alameda,51,103,49.51,3.75,4.01
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,28,64,43.75,3.6,3.85
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,55,166,33.13,3.55,3.88
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,9,12,75.0,4.11,4.22
ALISAL HIGH SCHOOL,Salinas,Monterey,0,11,0.0,3.56,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,47,94,50.0,3.83,4.06
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,8,27,29.63,3.48,3.96
ALTERNATIVES IN ACTION HS,Oakland,Alameda,0,0,,,
AMADOR HIGH SCHOOL,Sutter Creek,Amador,0,7,0.0,3.94,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,54,100,54.0,3.8,4.04
AMERICAN HIGH SCHOOL,Fremont,Alameda,23,59,38.98,3.67,4.05
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,0,11,0.0,3.44,
ANAHEIM HIGH SCHOOL,Anaheim,Orange,7,17,41.18,3.56,3.91
ANALY HIGH SCHOOL,Sebastopol,Sonoma,9,17,52.94,3.88,4.07
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,0,0,,,
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0,0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,17,28,60.71,3.75,3.98
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,9,21,42.86,3.95,4.16
ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,0,0,,,
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,4,13,30.77,3.47,
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,0,6,0.0,3.95,
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,5,15,33.33,3.73,4.06
ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,0,0,,,
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,11,19,57.89,3.88,4.06
APTOS HIGH SCHOOL,Aptos,Santa Cruz,19,34,55.88,3.99,4.18
ARAGON HIGH SCHOOL,San Mateo,San Mateo,41,86,47.67,3.73,4.07
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,211,393,53.69,3.74,3.99
ARCATA HIGH SCHOOL,Arcata,Humboldt,9,18,50.0,3.92,4.08
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,10,26,38.46,3.79,4.01
