school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,9,28.0,32.14,3.6,4.06
ABLE CHARTER,Stockton,San Joaquin,0,0.0,,3.59,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,7,27.0,25.93,3.61,4.1
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,44,124.0,35.48,3.81,4.25
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,16,50.0,32.0,3.98,4.29
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,3,16.0,18.75,3.97,4.22
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,0,6.0,0.0,3.54,
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,0,8.0,0.0,3.71,
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,0,13.0,0.0,4.0,
ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,0,0.0,,,
ACADEMY OF INNOVATION,Hemet,Riverside,0,0.0,,,
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,6,26.0,23.08,3.61,4.15
ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,0,7.0,0.0,3.61,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,33,58.0,56.9,4.08,4.22
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0,0.0,,3.78,
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,5,12.0,41.67,3.78,
ACALANES CENTER FOR IND STUDY,Walnut Creek,Contra Costa,0,0.0,,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,27,71.0,38.03,3.92,4.3
ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,0,0.0,,3.68,
ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,8,24.0,33.33,3.76,4.14
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,21,80.0,26.25,3.94,4.26
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,27,86.0,31.4,4.03,4.42
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,32,97.0,32.99,3.95,4.26
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,20,44.0,45.45,4.03,4.32
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,0,17.0,0.0,3.52,
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,8,19.0,42.11,4.15,4.41
ALAMEDA HIGH SCHOOL,Alameda,Alameda,35,134.0,26.12,3.98,4.28
