school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,11,36,30.56,3.68,4.03
ABLE CHARTER,Stockton,San Joaquin,0,6,0.0,3.59,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,6,25,24.0,3.72,4.03
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,41,196,20.92,4.0,4.27
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,13,48,27.08,4.18,4.29
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,6,12,50.0,3.92,4.23
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,0,14,0.0,3.66,4.11
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,3,10,30.0,3.68,
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,4,11,36.36,3.92,
ACADEMIES OF ANTELOPE VALLEY,Lancaster,Los Angeles,0,0,,3.27,
ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,0,0,,,
ACADEMY OF INNOVATION,Hemet,Riverside,0,0,,3.05,
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,8,27,29.63,3.7,4.14
ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,4,8,50.0,3.83,4.22
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,18,48,37.5,4.13,4.27
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0,9,0.0,,
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,0,17,0.0,4.04,
ACALANES CENTER FOR IND STUDY,Walnut Creek,Contra Costa,0,0,,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,17,104,16.35,4.06,4.33
ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,0,6,0.0,3.92,4.15
ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,14,31,45.16,3.72,4.12
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,22,76,28.95,3.98,4.25
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,24,132,18.18,4.05,4.36
ADVANCED LRNG ACDMY EARLY COLG,Santa Ana,Orange,0,5,0.0,,
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,37,127,29.13,4.04,4.24
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,22,63,34.92,3.98,4.3
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,3,18,16.67,3.51,3.81
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,6,18,33.33,4.13,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,29,133,21.8,3.97,4.28
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,10,27,37.04,4.15,
ALBANY HIGH SCHOOL,Albany,Alameda,22,117,18.8,4.01,4.32
ALESSANDRO HIGH SCHOOL,Hemet,Riverside,0,0,,,
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,39,114,34.21,3.83,4.23
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,36,130,27.69,3.96,4.24
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,6,26,23.08,4.04,
ALISAL HIGH SCHOOL,Salinas,Monterey,34,63,53.97,3.73,4.03
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,45,194,23.2,3.94,4.25
ALLIANCE ALICE M BAXTER CRHS,San Pedro,Los Angeles,0,8,0.0,,
ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,9,31,29.03,3.55,3.95
ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,6,31,19.35,3.64,4.01
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,3,10,30.0,3.83,3.96
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,4,22,18.18,3.69,3.95
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,6,10,60.0,3.65,3.91
ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,3,10,30.0,3.89,4.07
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,6,23,26.09,3.85,4.13
ALLIANCE MARGARET M BLOOMFIELD,Huntington Park,Los Angeles,7,32,21.88,3.67,4.01
ALLIANCE MIT 6-12 COMPLEX,Sun Valley,Los Angeles,3,7,42.86,3.93,4.22
ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,8,19,42.11,3.56,3.87
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,17,31,54.84,3.55,3.93
ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,13,33,39.39,3.56,3.92
ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,3,11,27.27,3.62,3.85
ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,7,17,41.18,3.61,3.89
ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,3,18,16.67,3.75,3.94
ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,9,19,47.37,3.73,4.02
ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles,10,12,83.33,3.7,4.01
ALPHA CINDY AVITIA HIGH SCHOOL,San Jose,Santa Clara,0,11,0.0,3.94,4.12
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,20,56,35.71,3.8,4.2
ALTA VISTA ALTERNATIVE HS,Santa Barbara,Santa Barbara,0,0,,4.25,
ALTA VISTA INNOVATION HIGH,Hesperia,San Bernardino,0,0,,,
ALTERNATIVES IN ACTION HS,Oakland,Alameda,0,5,0.0,,
AMADOR HIGH SCHOOL,Sutter Creek,Amador,0,8,0.0,4.22,
AMADOR VALLEY ADULT EDUCATION,Pleasanton,Alameda,0,0,,,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,56,287,19.51,3.99,4.23
AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,3,8,37.5,3.77,4.04
AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,3,35,8.57,4.03,4.32
AMERICAN HIGH SCHOOL,Fremont,Alameda,48,276,17.39,4.06,4.39
AMERICAS FINEST CHARTER SCHOOL,San Diego,San Diego,0,0,,,
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,0,8,0.0,3.79,
ANAHEIM HIGH SCHOOL,Anaheim,Orange,24,56,42.86,3.61,4.07
ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,0,0,,,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,10,51,19.61,4.02,4.24
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0,0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,10,30,33.33,3.92,4.23
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,13,48,27.08,4.03,4.32
ANIMO CTY CHAMPIONS CHARTER HS,Inglewood,Los Angeles,0,14,0.0,3.36,
ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,12,31,38.71,3.73,3.99
ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,6,36,16.67,3.72,4.07
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,10,29,34.48,3.75,4.16
ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,8,30,26.67,3.82,4.07
ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,0,6,0.0,3.57,3.91
ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,10,16,62.5,3.45,3.73
ANIMO VENICE CHARTER HS,Venice,Los Angeles,10,28,35.71,3.57,3.91
ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,4,11,36.36,3.73,3.99
ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,15,83,18.07,4.09,4.38
ANTELOPE HIGH SCHOOL,Antelope,Sacramento,8,37,21.62,3.96,
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,11,23,47.83,3.64,4.15
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,8,19,42.11,3.76,4.16
ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,0,0,,,
APEX ACADEMY HIGH SCHOOL,Los Angeles,Los Angeles,3,10,30.0,,
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,10,37,27.03,3.99,4.24
APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,0,15,0.0,3.72,4.05
APTOS HIGH SCHOOL,Aptos,Santa Cruz,10,44,22.73,3.95,
ARAGON HIGH SCHOOL,San Mateo,San Mateo,25,171,14.62,4.03,4.31
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,99,394,25.13,3.97,4.25
ARCATA HIGH SCHOOL,Arcata,Humboldt,6,19,31.58,4.1,4.29
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,23,96,23.96,4.01,4.26
ARCHITECTURE CONSTRUCT ENG HS,Camarillo,Ventura,0,0,,,
ARGONAUT HIGH SCHOOL,Jackson,Amador,0,0,,4.09,
ARISE HIGH SCHOOL,Oakland,Alameda,0,9,0.0,,
ARLETA HIGH SCHOOL,Arleta,Los Angeles,10,29,34.48,3.56,3.98
ARLINGTON HIGH SCHOOL,Riverside,Riverside,14,64,21.88,3.73,4.14
ARMIJO HIGH SCHOOL,Fairfield,Solano,11,26,42.31,4.12,4.29
ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,69,321,21.5,4.01,4.29
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,10,50,20.0,4.06,4.32
ARROYO HIGH SCHOOL,El Monte,Los Angeles,20,86,23.26,3.9,4.16
ARROYO HIGH SCHOOL,San Lorenzo,Alameda,11,57,19.3,3.98,4.35
ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,14,38,36.84,3.66,4.01
ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,11,27,40.74,4.0,4.12
ARVIN HIGH SCHOOL,Arvin,Kern,4,18,22.22,3.95,4.16
ASPIRE ALEXANDER TWILIGHT SCND,Sacramento,Sacramento,0,0,,,
ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,4,20,20.0,4.01,
ASPIRE GOLDEN STATE PREP ACADEMY,Oakland,Alameda,4,9,44.44,3.15,
ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,0,10,0.0,3.82,
ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,3,6,50.0,3.98,4.07
ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,8,14,57.14,3.77,3.98
