school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,4,21,19.05,3.51,3.92
ABLE CHARTER,Stockton,San Joaquin,0,0,,,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,14,39,35.9,3.68,4.07
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,44,135,32.59,3.76,4.14
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,10,36,27.78,3.86,4.21
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,5,13,38.46,3.63,
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,0,7,0.0,3.67,
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,0,5,0.0,3.71,
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,14,21,66.67,3.87,4.3
ACADEMY ARTS/SCIENCES SONOMA,Westlake Village,Ventura,0,0,,,
ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,0,0,,4.09,
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,7,20,35.0,3.73,4.06
ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,4,11,36.36,3.63,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,13,33,39.39,3.91,4.22
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0,6,0.0,4.02,
ACADEMY SCIENCE & ENGINEERING,Los Angeles,Los Angeles,0,0,,3.84,
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,4,8,50.0,3.68,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,25,87,28.74,3.89,4.12
ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,0,5,0.0,,
ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,0,20,0.0,3.64,4.07
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,22,78,28.21,3.97,4.23
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,21,70,30.0,4.03,4.27
ADULT EVENING HIGH (RAMONA CAMPUS),Riverside,Riverside,0,0,,,
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,19,81,23.46,3.86,4.1
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,10,21,47.62,3.91,4.26
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,6,24,25.0,3.47,3.76
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,5,11,45.45,4.09,4.33
ALAMEDA HIGH SCHOOL,Alameda,Alameda,38,112,33.93,3.96,4.28
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,8,19,42.11,3.83,4.24
ALBANY HIGH SCHOOL,Albany,Alameda,21,84,25.0,3.96,4.16
ALBERT EINSTEIN LETTER ART SCI,Agua Dulce,Los Angeles,8,17,47.06,,
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,39,111,35.14,3.68,4.15
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,46,114,40.35,3.63,4.03
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,6,17,35.29,3.85,4.18
ALISAL HIGH SCHOOL,Salinas,Monterey,4,6,66.67,3.61,3.96
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,38,114,33.33,3.89,4.17
ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,0,8,0.0,3.46,
ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,17,36,47.22,3.67,3.97
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,11,15,73.33,3.69,
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,0,9,0.0,,
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,0,0,,3.69,3.92
ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,6,17,35.29,3.6,3.92
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,8,21,38.1,3.76,3.99
ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,0,8,0.0,3.45,
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,5,10,50.0,3.5,
ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,6,17,35.29,3.63,3.9
ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,3,15,20.0,3.31,
ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,0,5,0.0,3.57,3.78
ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,5,13,38.46,3.84,4.09
ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,5,10,50.0,3.39,
ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles,9,19,47.37,3.57,3.95
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,16,60,26.67,3.73,4.21
ALTA VISTA ALTERNATIVE HS,Santa Barbara,Santa Barbara,0,0,,,
ALTA VISTA PUBLIC CHARTER,Hesperia,San Bernardino,0,0,,,
AMADOR HIGH SCHOOL,Sutter Creek,Amador,0,7,0.0,4.16,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,73,236,30.93,3.85,4.15
AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,8,17,47.06,3.76,4.12
AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,13,38,34.21,3.97,4.27
AMERICAN HIGH SCHOOL,Fremont,Alameda,46,145,31.72,3.84,4.23
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,5,7,71.43,3.72,
ANAHEIM HIGH SCHOOL,Anaheim,Orange,10,34,29.41,3.44,3.86
ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,0,0,,3.44,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,6,21,28.57,3.83,4.18
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,0,0,,,
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0,0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,17,40,42.5,3.66,4.12
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,11,30,36.67,3.74,4.21
ANIMO COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,4,6,66.67,3.43,3.94
ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,5,15,33.33,3.67,
ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,6,16,37.5,3.79,4.14
