school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,10.0,29.0,34.48,3.58,3.93
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,12.0,35.0,34.29,3.42,3.85
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,21.0,71.0,29.58,3.41,3.85
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,8.0,21.0,38.1,3.78,4.18
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,48.0,89.0,53.93,3.72,4.04
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,25.0,55.0,45.45,3.61,3.98
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,20.0,50.0,40.0,3.7,4.07
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,40.0,77.0,51.95,3.78,4.0
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,0.0,0.0,,,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,27.0,67.0,40.3,3.72,4.13
ALBANY HIGH SCHOOL,Albany,Alameda,23.0,51.0,45.1,3.68,4.02
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,27.0,56.0,48.21,3.71,3.99
ALHAMBRA ADULT SCHOOL,Alhambra,Los Angeles,0.0,0.0,,,
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,45.0,113.0,39.82,3.52,3.94
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,8.0,19.0,42.11,3.84,4.07
ALISAL HIGH SCHOOL,Salinas,Monterey,5.0,14.0,35.71,3.63,3.99
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,30.0,72.5,41.38,3.71,4.12
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,9.0,26.0,34.62,3.66,4.13
AMADOR HIGH SCHOOL,Sutter Creek,Amador,5.0,12.0,41.67,3.85,4.02
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,25.0,76.0,32.89,3.63,4.07
AMERICAN HIGH SCHOOL,Fremont,Alameda,6.0,23.0,26.09,3.69,4.23
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,6.0,9.0,66.67,3.96,4.08
ANAHEIM HIGH SCHOOL,Anaheim,Orange,0.0,11.0,0.0,3.65,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,20.0,43.0,46.51,3.89,4.06
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,0.0,0.0,,,
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0.0,0.0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,19.0,43.0,44.19,3.82,4.06
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,3.0,5.0,60.0,3.68,
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,11.0,22.0,50.0,3.66,4.1
ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,4.0,5.0,80.0,3.99,
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,10.0,15.0,66.67,3.91,4.14
APTOS HIGH SCHOOL,Aptos,Santa Cruz,32.0,58.0,55.17,3.93,4.12
ARAGON HIGH SCHOOL,San Mateo,San Mateo,36.0,73.0,49.32,3.81,4.14
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,174.0,335.0,51.94,3.71,3.99
ARCATA HIGH SCHOOL,Arcata,Humboldt,12.0,21.0,57.14,3.85,3.98
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,17.0,40.0,42.5,3.76,4.07
ARGONAUT HIGH SCHOOL,Jackson,Amador,3.0,5.0,60.0,3.83,
ARLINGTON HIGH SCHOOL,Riverside,Riverside,9.0,14.0,64.29,3.78,3.94
ARMIJO HIGH SCHOOL,Fairfield,Solano,11.0,21.0,52.38,3.83,4.03
