school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,6.0,8,75.0,3.84,3.92
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,7.0,12,58.33,3.52,3.71
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,4.0,17,23.53,3.62,
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,5.0,8,62.5,3.7,3.97
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,30.0,36,83.33,3.77,3.86
ADELANTE HIGH SCHOOL,Roseville,Placer,0.0,0,,,
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,25.0,39,64.1,3.81,4.05
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,0.0,0,,,
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,48.0,86,55.81,3.62,3.83
ALAMEDA HIGH SCHOOL,Alameda,Alameda,20.0,32,62.5,3.73,4.01
ALBANY HIGH SCHOOL,Albany,Alameda,10.0,26,38.46,3.48,3.94
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,28.0,61,45.9,3.42,3.86
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,54.0,109,49.54,3.66,3.93
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,9.0,9,100.0,3.7,3.7
ALISAL HIGH SCHOOL,Salinas,Monterey,3.0,19,15.79,3.41,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,8.5,19,44.74,3.6,3.95
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,7.0,14,50.0,3.76,3.86
AMADOR HIGH SCHOOL,Sutter Creek,Amador,5.0,7,71.43,3.71,3.8
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,22.0,30,73.33,3.9,4.05
AMERICAN HIGH SCHOOL,Fremont,Alameda,7.0,12,58.33,3.55,3.91
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,0.0,0,,,
ANAHEIM HIGH SCHOOL,Anaheim,Orange,0.0,0,,,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,11.0,14,78.57,3.77,3.8
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,0.0,0,,,
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0.0,0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,3.0,8,37.5,3.45,
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,7.0,8,87.5,3.87,4.05
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,9.0,13,69.23,3.92,4.14
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,8.0,12,66.67,3.81,3.89
