school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,7,18,38.89,3.56,3.92
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,21,48,43.75,3.65,3.89
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,37,120,30.83,3.53,3.86
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,8,25,32.0,3.85,4.22
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,0,6,0.0,3.74,
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,0,6,0.0,2.82,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,3,13,23.08,3.8,
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0,0,,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,30,95,31.58,3.8,4.09
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,21,64,32.81,3.89,4.2
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,17,50,34.0,3.87,4.15
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,37,113,32.74,3.77,4.11
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,0,7,0.0,3.88,
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,5,6,83.33,4.24,4.28
ALAMEDA HIGH SCHOOL,Alameda,Alameda,45,103,43.69,3.85,4.07
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,5,11,45.45,3.53,3.94
ALBANY HIGH SCHOOL,Albany,Alameda,40,86,46.51,3.84,4.07
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,27,64,42.19,3.58,4.01
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,68,145,46.9,3.61,3.92
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,0,13,0.0,3.62,
ALISAL HIGH SCHOOL,Salinas,Monterey,0,9,0.0,3.48,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,45,130,34.62,3.8,4.12
ALLAN F DAILY HIGH SCHOOL,Glendale,Los Angeles,0,0,,,
ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,3,15,20.0,,
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,0,17,0.0,3.47,
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,3,12,25.0,3.38,
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,0,0,,,
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,3,25,12.0,3.42,
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,0,11,0.0,3.49,
