school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
ANALY HIGH SCHOOL,Sebastopol,Sonoma,6,36,16.67,3.94,4.31
ANDERSON NEW TECHNOLOGY HIGH S,Anderson,Shasta,0,0,,,
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,0,0,,,
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0,0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,10,42,23.81,3.79,4.13
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,10,34,29.41,3.77,
ANIMO COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,5,23,21.74,3.42,
ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,4,13,30.77,3.43,
ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,7,17,41.18,3.75,4.18
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,8,30,26.67,3.93,4.21
ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,6,30,20.0,3.61,4.21
ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,0,9,0.0,3.52,
ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,13,28,46.43,3.42,
ANIMO VENICE CHARTER HS,Venice,Los Angeles,3,9,33.33,3.16,
ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,6,14,42.86,3.58,4.18
ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,14,51,27.45,4.07,4.3
ANTELOPE HIGH SCHOOL,Antelope,Sacramento,18,43,41.86,3.9,4.21
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,10,23,43.48,3.76,
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,6,17,35.29,3.85,
ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,0,0,,3.84,
APEX ACADEMY HIGH SCHOOL,Los Angeles,Los Angeles,0,0,,3.67,
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,8,29,27.59,3.89,
APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,0,5,0.0,3.77,
APTOS HIGH SCHOOL,Aptos,Santa Cruz,13,39,33.33,4.03,4.33
ARAGON HIGH SCHOOL,San Mateo,San Mateo,30,84,35.71,3.97,4.25
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,120,369,32.52,3.86,4.18
ARCATA HIGH SCHOOL,Arcata,Humboldt,3,12,25.0,4.13,4.3
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,7,39,17.95,3.94,4.22
ARCHITECTURE CONSTRUCT ENG HS,Camarillo,Ventura,0,0,,,
ARGONAUT HIGH SCHOOL,Jackson,Amador,0,0,,,
ARISE HIGH SCHOOL,Oakland,Alameda,0,11,0.0,,
ARLETA HIGH SCHOOL,Arleta,Los Angeles,7,22,31.82,3.7,3.95
ARLINGTON HIGH SCHOOL,Riverside,Riverside,9,30,30.0,3.91,4.19
ARMIJO HIGH SCHOOL,Fairfield,Solano,11,50,22.0,3.94,4.31
ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,61,219,27.85,3.91,4.22
ARROYO GRANDE HIGH (CROWN HILL),Arroyo Grande,San Luis Obispo,0,0,,,
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,14,51,27.45,4.08,4.29
ARROYO HIGH SCHOOL,El Monte,Los Angeles,28,85,32.94,3.82,4.13
ARROYO HIGH SCHOOL,San Lorenzo,Alameda,15,46,32.61,3.99,4.25
