school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,14,28,50.0,3.73,4.09
ABLE CHARTER,Stockton,San Joaquin,0,5,0.0,,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,25,52,48.08,3.78,4.08
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,62,227,27.31,4.02,4.24
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,9,49,18.37,4.05,4.28
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,5,20,25.0,3.94,4.13
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,6,14,42.86,3.96,4.18
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,4,10,40.0,3.63,4.05
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,3,21,14.29,3.76,
ACADEMIES OF ANTELOPE VALLEY,Lancaster,Los Angeles,0,6,0.0,,
ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,0,0,,,
ACADEMY OF INNOVATION,Hemet,Riverside,0,6,0.0,,
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,7,31,22.58,3.95,4.19
ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,6,11,54.55,3.75,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,17,49,34.69,4.17,4.3
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0,0,,4.22,
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,4,12,33.33,3.8,
ACALANES CENTER FOR IND STUDY,Walnut Creek,Contra Costa,0,0,,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,21,110,19.09,4.02,4.22
ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,5,7,71.43,3.76,
ADELANTO HIGH SCHOOL,Adelanto,San Bernardino,12,25,48.0,3.63,4.19
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,10,84,11.9,3.94,4.26
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,17,148,11.49,4.1,4.32
ADVANCED LRNG ACDMY EARLY COLG,Santa Ana,Orange,0,0,,,
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,25,129,19.38,4.03,4.19
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,13,91,14.29,3.89,
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,9,28,32.14,3.55,3.86
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,3,11,27.27,4.07,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,15,192,7.81,4.07,4.3
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,3,24,12.5,3.92,
ALBANY HIGH SCHOOL,Albany,Alameda,18,138,13.04,3.91,4.22
ALDER GROVE CHARTER SCHOOL 2,Eureka,Humboldt,0,0,,,
ALESSANDRO,Moreno Valley,Riverside,0,0,,,
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,31,139,22.3,3.89,4.22
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,41,181,22.65,3.9,4.22
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,3,35,8.57,3.95,4.27
ALISAL HIGH SCHOOL,Salinas,Monterey,38,70,54.29,3.68,4.09
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,16,207,7.73,3.92,4.2
ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,16,39,41.03,3.74,3.99
ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,14,32,43.75,3.77,4.14
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,9,17,52.94,3.76,
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,10,19,52.63,3.75,4.11
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,11,20,55.0,3.71,4.02
ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,10,14,71.43,3.73,4.14
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,16,30,53.33,3.92,4.19
ALLIANCE MARGARET M BLOOMFIELD,Huntington Park,Los Angeles,17,38,44.74,3.8,4.07
ALLIANCE MIT 6-12 COMPLEX,Sun Valley,Los Angeles,8,15,53.33,3.93,4.17
ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,16,30,53.33,3.68,3.99
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,12,39,30.77,3.97,4.13
ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,10,26,38.46,3.78,4.2
ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,10,19,52.63,3.69,4.12
ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,9,19,47.37,3.79,4.06
ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,21,30,70.0,3.94,4.08
ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,23,44,52.27,3.8,4.11
ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles,6,11,54.55,3.43,4.11
ALPHA CINDY AVITIA HIGH SCHOOL,San Jose,Santa Clara,11,17,64.71,3.93,
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,14,78,17.95,3.95,4.24
ALTA VISTA ALTERNATIVE HS,Santa Barbara,Santa Barbara,0,5,0.0,,
ALTERNATIVES IN ACTION HS,Oakland,Alameda,0,0,,2.95,
AMADOR HIGH SCHOOL,Sutter Creek,Amador,0,5,0.0,4.16,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,40,332,12.05,3.94,4.23
AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,6,13,46.15,3.74,4.15
AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,15,49,30.61,4.02,4.27
AMERICAN HIGH SCHOOL,Fremont,Alameda,54,358,15.08,4.04,4.27
AMERICAS FINEST CHARTER SCHOOL,San Diego,San Diego,0,0,,,
AMISTAD HIGH SCHOOL,Indio,Riverside,0,0,,,
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,3,5,60.0,3.74,4.13
ANAHEIM HIGH SCHOOL,Anaheim,Orange,28,60,46.67,3.68,4.05
ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,0,0,,,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,7,44,15.91,4.05,4.26
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0,0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,7,34,20.59,3.99,4.24
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,11,76,14.47,3.99,4.3
ANIMO COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,0,0,,,
ANIMO CTY CHAMPIONS CHARTER HS,Inglewood,Los Angeles,0,10,0.0,3.73,3.96
ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,18,35,51.43,3.64,4.03
ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,16,38,42.11,3.75,4.16
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,16,38,42.11,3.73,4.15
ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,25,45,55.56,3.72,4.12
ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,8,18,44.44,3.92,4.02
ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,7,21,33.33,3.66,3.93
ANIMO VENICE CHARTER HS,Venice,Los Angeles,13,27,48.15,3.55,3.98
ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,5,14,35.71,3.68,4.07
ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,10,84,11.9,4.03,4.29
ANTELOPE HIGH SCHOOL,Antelope,Sacramento,0,43,0.0,4.03,4.22
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,5,10,50.0,3.88,4.05
ANTELOPE VALLEY LEARNING ACDMY,Palmdale,Los Angeles,0,0,,,
