school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,6,7,85.71,3.73,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,7,14,50.0,3.27,3.71
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,9,18,50.0,3.46,3.97
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,8,13,61.54,3.89,3.96
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,44,61,72.13,3.62,3.9
ADELANTE HIGH SCHOOL,Roseville,Placer,0,0,,,
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,31,38,81.58,3.68,3.92
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,5,10,50.0,3.64,3.97
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,56,76,73.68,3.69,3.94
ALAMEDA HIGH SCHOOL,Alameda,Alameda,17,28,60.71,3.88,4.08
ALBANY HIGH SCHOOL,Albany,Alameda,7,15,46.67,3.51,3.79
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,32,48,66.67,3.56,3.9
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,82,130,63.08,3.55,3.93
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,0,0,,3.75,3.98
ALISAL HIGH SCHOOL,Salinas,Monterey,12,19,63.16,3.47,3.94
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,19,33,57.58,3.68,4.09
AMADOR HIGH SCHOOL,Sutter Creek,Amador,3,5,60.0,3.67,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,14,19,73.68,3.76,4.0
AMERICAN HIGH SCHOOL,Fremont,Alameda,5,12,41.67,3.77,3.97
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,0,0,,3.61,
ANAHEIM HIGH SCHOOL,Anaheim,Orange,6,6,100.0,,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,12,15,80.0,3.74,4.09
