school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,7,22,31.82,3.51,4.02
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,23,37,62.16,3.65,3.79
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,15,67,22.39,3.45,3.89
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,12,30,40.0,3.79,4.02
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,4,9,44.44,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,42,81,51.85,3.79,4.08
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,19,46,41.3,3.84,4.08
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,24,47,51.06,3.93,4.06
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,35,102,34.31,3.77,4.07
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,4,5,80.0,4.1,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,37,86,43.02,3.72,4.03
ALBANY HIGH SCHOOL,Albany,Alameda,40,77,51.95,3.83,4.05
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,29,65,44.62,3.66,3.99
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,60,122,49.18,3.65,3.88
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,11,21,52.38,3.92,4.2
ALISAL HIGH SCHOOL,Salinas,Monterey,0,22,0.0,3.18,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,18,50,36.0,3.76,4.08
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,3,21,14.29,3.66,
AMADOR HIGH SCHOOL,Sutter Creek,Amador,3,5,60.0,3.87,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,30,64,46.88,3.77,4.07
AMERICAN HIGH SCHOOL,Fremont,Alameda,33,61,54.1,3.87,4.11
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,3,8,37.5,3.73,
ANAHEIM HIGH SCHOOL,Anaheim,Orange,4,7,57.14,3.62,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,15,32,46.88,3.84,4.1
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0,5,0.0,3.93,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,22,37,59.46,3.85,4.1
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,5,9,55.56,3.75,
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,0,5,0.0,3.59,
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,0,11,0.0,3.54,
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,8,20,40.0,3.77,4.08
ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,0,0,,,
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,10,17,58.82,3.98,4.18
APTOS HIGH SCHOOL,Aptos,Santa Cruz,26,40,65.0,4.07,4.16
ARAGON HIGH SCHOOL,San Mateo,San Mateo,25,61,40.98,3.67,4.05
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,160,354,45.2,3.72,4.05
ARCATA HIGH SCHOOL,Arcata,Humboldt,7,16,43.75,3.95,4.21
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,13,28,46.43,3.83,4.0
ARGONAUT HIGH SCHOOL,Jackson,Amador,0,0,,,
ARLINGTON HIGH SCHOOL,Riverside,Riverside,9,22,40.91,3.79,4.05
ARMIJO HIGH SCHOOL,Fairfield,Solano,13,21,61.9,3.93,4.15
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,19,37,51.35,3.8,4.09
ARROYO HIGH SCHOOL,El Monte,Los Angeles,24,52,46.15,3.62,3.87
ARROYO HIGH SCHOOL,San Lorenzo,Alameda,12,25,48.0,3.85,4.03
ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,10,20,50.0,3.69,4.02
ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,9,16,56.25,3.8,4.02
ARVIN HIGH SCHOOL,Arvin,Kern,3,6,50.0,3.72,
ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,0,0,,,
ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,0,0,,,
ATWATER HIGH SCHOOL,Atwater,Merced,8,14,57.14,3.87,4.15
AURORA HIGH SCHOOL,Calexico,Imperial,0,0,,,
AVALON HIGH SCHOOL,Avalon,Los Angeles,0,0,,,
AZUSA HIGH SCHOOL,Azusa,Los Angeles,0,6,0.0,3.68,
BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,11,29,37.93,3.66,4.1
BALBOA HIGH SCHOOL,San Francisco,San Francisco,4,12,33.33,3.69,
BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,11,22,50.0,3.63,4.03
BANNING HIGH SCHOOL,Banning,Riverside,3,14,21.43,3.69,
BARSTOW HIGH SCHOOL,Barstow,San Bernardino,5,11,45.45,3.75,3.94
BASSETT HIGH SCHOOL,La Puente,Los Angeles,7,14,50.0,3.75,4.03
BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,11,18,61.11,3.68,4.02
BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada,7,13,53.85,3.93,4.11
BEAUMONT HIGH SCHOOL,Beaumont,Riverside,0,7,0.0,3.89,
BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,3,7,42.86,3.57,
BELL HIGH SCHOOL,Bell,Los Angeles,11,23,47.83,3.61,3.9
BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,25,57,43.86,3.86,4.19
BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,6,13,46.15,3.52,4.02
BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,12,33,36.36,3.53,3.81
BENICIA HIGH SCHOOL,Benicia,Solano,20,47,42.55,3.88,4.11
BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,10,24,41.67,3.64,3.82
BERKELEY HIGH SCHOOL,Berkeley,Alameda,47,124,37.9,3.68,4.04
BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,75,173,43.35,3.62,3.95
BIG BEAR HIGH SCHOOL,Big Bear City,San Bernardino,4,6,66.67,,
BIG PINE HIGH SCHOOL,Big Pine,Inyo,0,0,,,
BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,18,40,45.0,,
