school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,9,26,34.62,3.65,4.11
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,16,69,23.19,3.81,4.06
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,19,87,21.84,3.68,4.03
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,15,35,42.86,3.85,4.23
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,0,15,0.0,3.96,
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,0,5,0.0,,
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,0,11,0.0,3.78,
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,4,14,28.57,3.94,4.17
ACADEMY MED HEALTH SCI AT RHS,Los Angeles,Los Angeles,0,0,,,
ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,0,0,,,
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,0,10,0.0,3.53,
ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,0,0,,,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,10,24,41.67,3.87,4.12
ACADEMY OF THE REDWOODS,Eureka,Humboldt,0,0,,,
ACADEMY-SAN FRAN @ MCATEER,San Francisco,San Francisco,0,7,0.0,3.64,
ACALANES CENTER FOR IND STUDY,Walnut Creek,Contra Costa,0,0,,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,28,90,31.11,3.82,4.2
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,24,54,44.44,3.88,4.33
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,18,43,41.86,4.0,4.24
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,32,102,31.37,3.83,4.13
AIMS COLLEGE PREP HIGH SCHOOL,Oakland,Alameda,5,12,41.67,3.73,4.16
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,0,9,0.0,3.57,4.1
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,0,0,,4.01,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,56,156,35.9,3.88,4.23
ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,9,16,56.25,3.9,4.25
ALBANY HIGH SCHOOL,Albany,Alameda,23,94,24.47,3.81,4.2
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,24,80,30.0,3.55,4.07
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,16,112,14.29,3.62,4.01
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,11,23,47.83,3.87,
ALISAL HIGH SCHOOL,Salinas,Monterey,6,16,37.5,3.23,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,41,113,36.28,3.85,4.17
ALLIANCE COLLEGE-READY ACD #7,Los Angeles,Los Angeles,0,0,,,
ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,3,17,17.65,,
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,0,14,0.0,3.68,
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,0,0,,3.7,3.9
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,0,11,0.0,3.52,
ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,3,15,20.0,3.56,3.83
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,6,22,27.27,3.85,4.11
ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,3,13,23.08,3.56,
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,3,10,30.0,3.41,
ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,5,37,13.51,3.51,
ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,0,6,0.0,,
ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,0,6,0.0,,
ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles,0,11,0.0,,
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,10,36,27.78,3.71,4.17
ALTA VISTA ALTERNATIVE HS,Santa Barbara,Santa Barbara,0,0,,3.8,
ALTERNATIVE FAMILY EDUCATION,Santa Cruz,Santa Cruz,0,0,,,
ALTERNATIVES IN ACTION HS,Oakland,Alameda,0,0,,,
AMADOR HIGH SCHOOL,Sutter Creek,Amador,0,0,,3.84,
AMADOR VALLEY ADULT EDUCATION,Pleasanton,Alameda,0,0,,,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,69,162,42.59,3.84,4.19
AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,0,11,0.0,3.69,
AMERICAN CANYON HIGH SCHOOL,American Canyon,Napa,4,25,16.0,3.93,4.18
AMERICAN HIGH SCHOOL,Fremont,Alameda,56,133,42.11,3.86,4.16
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,0,5,0.0,3.61,
ANAHEIM HIGH SCHOOL,Anaheim,Orange,5,34,14.71,3.55,3.97
ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,0,0,,,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,17,29,58.62,4.04,4.24
ANDERSON NEW TECHNOLOGY HIGH S,Anderson,Shasta,0,0,,,
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0,0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,13,54,24.07,3.71,4.11
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,14,38,36.84,3.87,4.25
ANIMO COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,0,5,0.0,3.74,
ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,4,13,30.77,3.61,
ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,0,7,0.0,3.62,
ANIMO JUSTICE CHARTER HIGH SCH,Los Angeles,Los Angeles,0,0,,,
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,8,18,44.44,3.65,3.95
ANIMO LEROY LOCKE 3 COLG PREP,Los Angeles,Los Angeles,0,6,0.0,,
ANIMO LOCKE II CHARTER HS,Los Angeles,Los Angeles,0,12,0.0,,
ANIMO LOCKE TECH CHARTER HS,Los Angeles,Los Angeles,0,10,0.0,,
ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,4,13,30.77,3.59,3.86
ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,0,10,0.0,3.7,
ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,0,6,0.0,3.03,
ANIMO VENICE CHARTER HS,Venice,Los Angeles,0,8,0.0,3.4,
ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,0,7,0.0,3.26,
ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,12,39,30.77,3.95,4.26
ANTELOPE HIGH SCHOOL,Antelope,Sacramento,12,27,44.44,3.86,4.17
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,3,10,30.0,3.77,4.1
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,0,10,0.0,3.95,
ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,0,0,,,
APEX ACADEMY HIGH SCHOOL,Los Angeles,Los Angeles,0,0,,,
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,6,25,24.0,3.81,4.21
APTOS HIGH SCHOOL,Aptos,Santa Cruz,17,35,48.57,3.89,4.26
ARAGON HIGH SCHOOL,San Mateo,San Mateo,33,84,39.29,3.88,4.23
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,94,372,25.27,3.76,4.15
ARCATA HIGH SCHOOL,Arcata,Humboldt,4,13,30.77,3.99,4.26
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,8,23,34.78,3.85,4.12
ARISE HIGH SCHOOL,Oakland,Alameda,0,8,0.0,3.71,
ARK ALTERNATIVE SCHOOL,Santa Cruz,Santa Cruz,0,0,,,
ARLETA HIGH SCHOOL,Arleta,Los Angeles,6,28,21.43,3.66,4.09
ARLINGTON HIGH SCHOOL,Riverside,Riverside,10,42,23.81,3.79,4.2
ARMIJO HIGH SCHOOL,Fairfield,Solano,3,32,9.38,4.07,4.23
ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,66,193,34.2,3.83,4.22
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,17,41,41.46,3.99,4.29
ARROYO HIGH SCHOOL,El Monte,Los Angeles,24,67,35.82,3.8,4.14
ARROYO HIGH SCHOOL,San Lorenzo,Alameda,12,27,44.44,3.92,4.19
ARROYO PASEO CHARTER HS,San Diego,San Diego,0,0,,,
ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,5,30,16.67,3.56,4.0
ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,7,27,25.93,3.71,4.11
ARVIN HIGH SCHOOL,Arvin,Kern,3,12,25.0,3.68,3.97
ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,3,8,37.5,3.87,
ASPIRE EAST PALO ALTO PHOENIX,East Palo Alto,San Mateo,0,0,,,
