school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,11,15.0,73.33,4.01,4.19
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,4,22.0,18.18,3.28,
ABRAHAM LINCOLN HIGH SCHOOL,Riverside,Riverside,0,0.0,,,
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,13,55.0,23.64,3.45,3.83
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,15,27.0,55.56,3.77,4.02
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,46,94.0,48.94,3.69,4.01
ADELANTE HIGH SCHOOL,Roseville,Placer,0,0.0,,,
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,25,56.0,44.64,3.71,3.95
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,10,26.0,38.46,3.77,4.2
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,35,72.0,48.61,3.71,3.99
ALAMEDA HIGH SCHOOL,Alameda,Alameda,27,58.0,46.55,3.89,4.16
ALBANY HIGH SCHOOL,Albany,Alameda,19,38.0,50.0,3.71,3.97
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,23,70.0,32.86,3.55,3.94
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,51,102.0,50.0,3.61,3.89
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,4,12.0,33.33,3.72,
ALISAL HIGH SCHOOL,Salinas,Monterey,0,6.0,0.0,3.29,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,18,46.5,38.71,3.66,4.14
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,18,46.5,38.71,3.83,4.07
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,10,33.0,30.3,3.82,4.25
AMADOR HIGH SCHOOL,Sutter Creek,Amador,5,9.0,55.56,3.83,3.94
AMADOR VALLEY ADULT EDUCATION,Pleasanton,Alameda,0,0.0,,,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,17,48.0,35.42,3.74,4.16
AMERICAN HIGH SCHOOL,Fremont,Alameda,6,21.0,28.57,3.78,4.08
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,0,8.0,0.0,3.7,
ANAHEIM HIGH SCHOOL,Anaheim,Orange,3,6.0,50.0,3.61,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,14,25.0,56.0,3.94,4.1
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,0,0.0,,,
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0,0.0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,8,16.0,50.0,3.78,4.05
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,5,8.0,62.5,3.85,4.11
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,6,19.0,31.58,3.87,4.25
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,14,29.0,48.28,3.85,4.09
APTOS HIGH SCHOOL,Aptos,Santa Cruz,15,32.0,46.88,3.79,4.11
ARAGON HIGH SCHOOL,San Mateo,San Mateo,24,67.0,35.82,3.7,4.15
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,172,348.0,49.43,3.71,4.01
ARCATA HIGH SCHOOL,Arcata,Humboldt,5,13.0,38.46,3.68,3.92
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,9,31.0,29.03,3.66,3.92
ARK ALTERNATIVE SCHOOL,Santa Cruz,Santa Cruz,0,0.0,,,
ARLINGTON HIGH SCHOOL,Riverside,Riverside,10,28.0,35.71,3.56,4.07
ARMIJO HIGH SCHOOL,Fairfield,Solano,10,20.0,50.0,3.86,4.13
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,19,38.0,50.0,3.83,4.11
ARROYO HIGH SCHOOL,El Monte,Los Angeles,12,20.0,60.0,3.68,3.83
ARROYO HIGH SCHOOL,San Lorenzo,Alameda,0,5.0,0.0,3.85,
ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,0,14.0,0.0,3.55,
ARVIN HIGH SCHOOL,Arvin,Kern,0,0.0,,,
ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,10,20.0,50.0,3.72,4.04
ATWATER HIGH SCHOOL,Atwater,Merced,10,15.0,66.67,3.88,4.07
AVALON HIGH SCHOOL,Avalon,Los Angeles,0,0.0,,,
AVENAL HIGH SCHOOL,Avenal,Kings,0,0.0,,,
AZUSA HIGH SCHOOL,Azusa,Los Angeles,0,0.0,,,
BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,10,22.0,45.45,3.62,3.98
BALBOA HIGH SCHOOL,San Francisco,San Francisco,0,0.0,,,
BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,6,14.0,42.86,3.54,4.03
BANNING HIGH SCHOOL,Banning,Riverside,5,10.0,50.0,3.59,3.7
BARSTOW HIGH SCHOOL,Barstow,San Bernardino,0,0.0,,,
BASSETT HIGH SCHOOL,La Puente,Los Angeles,0,6.0,0.0,3.75,
BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,12,26.0,46.15,3.65,3.94
BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada,5,14.0,35.71,3.88,4.11
BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,0,9.0,0.0,3.43,
BELL HIGH SCHOOL,Bell,Los Angeles,0,11.0,0.0,3.3,
BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,29,43.0,67.44,3.93,4.12
