school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,7,23,30.43,3.6,3.96
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,8,19,42.11,3.49,3.89
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,13,59,22.03,3.52,4.04
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,12,22,54.55,3.9,4.11
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,53,115,46.09,3.71,3.99
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,24,62,38.71,3.72,4.01
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,12,24,50.0,3.89,4.17
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,40,106,37.74,3.68,3.94
ALAMEDA HIGH SCHOOL,Alameda,Alameda,20,68,29.41,3.72,4.11
ALBANY HIGH SCHOOL,Albany,Alameda,21,50,42.0,3.67,4.0
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,22,68,32.35,3.59,4.12
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,43,93,46.24,3.62,3.92
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,5,19,26.32,3.72,4.17
ALISAL HIGH SCHOOL,Salinas,Monterey,3,9,33.33,3.44,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,37,95,38.95,3.79,4.17
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,11,26,42.31,3.83,4.19
AMADOR HIGH SCHOOL,Sutter Creek,Amador,5,10,50.0,3.91,4.17
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,23,45,51.11,3.77,4.1
AMERICAN HIGH SCHOOL,Fremont,Alameda,7,20,35.0,3.8,4.09
AMISTAD HIGH SCHOOL,Indio,Riverside,0,0,,,
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,6,11,54.55,3.85,4.18
ANAHEIM HIGH SCHOOL,Anaheim,Orange,0,0,,,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,17,40,42.5,3.94,4.17
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,5,7,71.43,4.0,4.18
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0,0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,19,28,67.86,3.94,4.07
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,5,7,71.43,3.96,4.11
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,4,13,30.77,3.81,
ANZAR HIGH SCHOOL,San Juan Bautista,San Benito,0,0,,,
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,3,16,18.75,3.65,
APTOS HIGH SCHOOL,Aptos,Santa Cruz,20,44,45.45,3.93,4.18
ARAGON HIGH SCHOOL,San Mateo,San Mateo,35,85,41.18,3.68,4.11
