school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,4.0,11,36.36,3.84,4.01
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,11.0,27,40.74,3.3,3.77
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,5.0,21,23.81,3.67,3.89
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,9.0,13,69.23,3.61,3.67
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,40.0,78,51.28,3.66,3.75
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,19.0,33,57.58,3.91,3.99
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,6.0,11,54.55,3.8,4.05
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,33.0,63,52.38,3.71,3.86
ALAMEDA HIGH SCHOOL,Alameda,Alameda,22.0,39,56.41,3.77,3.97
ALBANY HIGH SCHOOL,Albany,Alameda,11.0,25,44.0,3.39,3.61
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,29.0,60,48.33,3.47,3.7
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,45.0,118,38.14,3.63,3.81
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,9.0,14,64.29,,
ALISAL HIGH SCHOOL,Salinas,Monterey,9.0,19,47.37,3.56,3.79
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,15.5,32,48.44,,
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,14.0,26,53.85,3.57,3.72
AMADOR HIGH SCHOOL,Sutter Creek,Amador,3.0,6,50.0,3.46,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,22.0,34,64.71,3.8,3.93
AMERICAN HIGH SCHOOL,Fremont,Alameda,6.0,12,50.0,3.72,4.27
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,0.0,6,0.0,,
ANAHEIM HIGH SCHOOL,Anaheim,Orange,0.0,0,,4.05,4.05
ANALY HIGH SCHOOL,Sebastopol,Sonoma,7.0,14,50.0,3.79,3.89
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,0.0,0,,,
ANDERSON VALLEY HIGH SCHOOL,Boonville,Mendocino,0.0,0,,,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,6.0,13,46.15,3.76,3.92
