school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,0.0,5.0,0.0,3.69,
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,6.0,11.0,54.55,3.72,4.08
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,0.0,16.0,0.0,3.48,
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,12.0,22.0,54.55,3.77,4.06
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,47.0,94.0,50.0,3.69,4.0
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,27.0,53.0,50.94,3.74,3.99
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,16.0,34.0,47.06,3.79,4.06
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,39.0,71.0,54.93,3.76,3.91
ALAMEDA HIGH SCHOOL,Alameda,Alameda,23.0,56.0,41.07,3.88,4.11
ALBANY HIGH SCHOOL,Albany,Alameda,29.0,53.0,54.72,3.59,3.92
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,29.0,49.0,59.18,3.7,4.03
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,41.0,115.0,35.65,3.58,4.0
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,5.0,5.0,100.0,4.07,4.07
ALISAL HIGH SCHOOL,Salinas,Monterey,0.0,8.0,0.0,3.23,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,18.5,42.5,43.53,3.74,4.08
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,18.5,42.5,43.53,3.75,3.99
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,8.0,18.0,44.44,3.74,4.07
AMADOR HIGH SCHOOL,Sutter Creek,Amador,3.0,7.0,42.86,3.65,
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,14.0,40.0,35.0,3.67,3.93
AMERICAN HIGH SCHOOL,Fremont,Alameda,7.0,15.0,46.67,3.71,4.04
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,0.0,0.0,,,
ANAHEIM HIGH SCHOOL,Anaheim,Orange,0.0,5.0,0.0,3.29,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,12.0,21.0,57.14,3.88,4.11
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,3.0,5.0,60.0,3.86,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,6.0,10.0,60.0,3.7,3.97
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,0.0,5.0,0.0,3.91,
ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,11.0,35.0,31.43,3.79,4.06
APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,5.0,21.0,23.81,3.61,3.96
APTOS HIGH SCHOOL,Aptos,Santa Cruz,15.0,35.0,42.86,3.8,3.96
ARAGON HIGH SCHOOL,San Mateo,San Mateo,25.0,46.0,54.35,3.77,3.98
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,133.0,292.0,45.55,3.69,3.98
ARCATA HIGH SCHOOL,Arcata,Humboldt,6.0,11.0,54.55,3.81,3.96
ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,16.0,33.0,48.48,3.64,3.99
ARGONAUT HIGH SCHOOL,Jackson,Amador,4.0,6.0,66.67,3.58,
ARGUS CONTINUATION HS,Ceres,Stanislaus,0.0,0.0,,,
ARLINGTON HIGH SCHOOL,Riverside,Riverside,0.0,9.0,0.0,3.55,
ARMIJO HIGH SCHOOL,Fairfield,Solano,10.0,14.0,71.43,3.85,3.98
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,11.0,21.0,52.38,3.78,4.0
ARROYO HIGH SCHOOL,El Monte,Los Angeles,6.0,12.0,50.0,3.65,3.91
ARROYO HIGH SCHOOL,San Lorenzo,Alameda,0.0,7.0,0.0,3.33,
ART-FAR WEST HIGH SCHOOL,Oakland,Alameda,0.0,0.0,,,
ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,7.0,21.0,33.33,3.84,4.06
ARVIN HIGH SCHOOL,Arvin,Kern,0.0,0.0,,,
ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,11.0,24.0,45.83,3.86,4.05
ATWATER HIGH SCHOOL,Atwater,Merced,4.0,6.0,66.67,3.82,
AVALON HIGH SCHOOL,Avalon,Los Angeles,0.0,0.0,,,
AZUSA HIGH SCHOOL,Azusa,Los Angeles,0.0,0.0,,,
BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,14.0,31.0,45.16,3.63,4.02
BALBOA HIGH SCHOOL,San Francisco,San Francisco,0.0,0.0,,,
BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,6.0,11.0,54.55,3.58,3.97
BANNING HIGH SCHOOL,Banning,Riverside,7.0,11.0,63.64,4.05,4.05
BARSTOW HIGH SCHOOL,Barstow,San Bernardino,0.0,0.0,,,
BASSETT HIGH SCHOOL,La Puente,Los Angeles,0.0,0.0,,,
BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,4.0,9.0,44.44,3.68,
BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada,0.0,6.0,0.0,3.89,
BEAUMONT HIGH SCHOOL,Beaumont,Riverside,7.0,11.0,63.64,4.06,4.06
BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,0.0,8.0,0.0,3.32,
BELL HIGH SCHOOL,Bell,Los Angeles,0.0,7.0,0.0,3.4,
BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,28.0,49.0,57.14,3.9,4.14
BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,0.0,9.0,0.0,3.63,
BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,4.0,10.0,40.0,3.6,
BENICIA HIGH SCHOOL,Benicia,Solano,8.0,18.0,44.44,3.83,4.16
