school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,8,30,26.67,3.48,4.01
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,36,54,66.67,3.62,3.77
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,15,87,17.24,3.38,3.82
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,9,24,37.5,3.74,4.07
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,0,0,,,
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,4,9,44.44,,
ACALANES HIGH SCHOOL,Lafayette,Contra Costa,39,92,42.39,3.7,3.97
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,23,57,40.35,3.85,4.15
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,17,45,37.78,3.79,4.05
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,41,101,40.59,3.8,4.07
ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,0,0,,,
ALAMEDA HIGH SCHOOL,Alameda,Alameda,43,104,41.35,3.84,4.15
ALBANY HIGH SCHOOL,Albany,Alameda,47,83,56.63,3.83,4.03
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,29,56,51.79,3.63,3.99
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,64,156,41.03,3.57,3.91
ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,9,22,40.91,3.9,4.23
ALISAL HIGH SCHOOL,Salinas,Monterey,0,13,0.0,3.5,
ALISO NIGUEL HIGH SCHOOL,Aliso Viejo,Orange,52,124,41.94,3.76,4.11
ALTA LOMA HIGH SCHOOL,Alta Loma,San Bernardino,12,32,37.5,3.84,4.16
ALTERNATIVES IN ACTION HS,Oakland,Alameda,0,0,,,
AMADOR HIGH SCHOOL,Sutter Creek,Amador,5,8,62.5,3.9,3.93
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,42,96,43.75,3.81,4.11
AMERICAN HIGH SCHOOL,Fremont,Alameda,50,114,43.86,3.81,4.09
AMOS ALONZO STAGG HIGH SCHOOL,Stockton,San Joaquin,0,10,0.0,3.6,
ANAHEIM HIGH SCHOOL,Anaheim,Orange,4,11,36.36,3.38,
ANALY HIGH SCHOOL,Sebastopol,Sonoma,7,20,35.0,3.8,4.1
ANDERSON NEW TECHNOLOGY HIGH S,Anderson,Shasta,0,0,,,
ANDERSON UNION HIGH SCHOOL,Anderson,Shasta,3,6,50.0,3.68,
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,19,42,45.24,3.66,3.87
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,11,26,42.31,3.9,4.16
ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,5,14,35.71,3.32,3.88
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,4,12,33.33,3.39,
ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,9,24,37.5,3.77,4.01
